                                                   
{'loss': 186.0, 'grad_norm': 68.0, 'learning_rate': 5e-05, 'epoch': 0.06, 'num_input_tokens_seen': 131072, 'train_runtime': 15.5876, 'train_tokens_per_second': 8408.71}
{'loss': 182.5, 'grad_norm': 60.75, 'learning_rate': 4.995e-05, 'epoch': 0.11, 'num_input_tokens_seen': 262144, 'train_runtime': 25.4061, 'train_tokens_per_second': 10318.163}
{'loss': 179.8125, 'grad_norm': 45.25, 'learning_rate': 4.99e-05, 'epoch': 0.17, 'num_input_tokens_seen': 393216, 'train_runtime': 35.202, 'train_tokens_per_second': 11170.289}
{'loss': 177.9375, 'grad_norm': 43.25, 'learning_rate': 4.9850000000000006e-05, 'epoch': 0.22, 'num_input_tokens_seen': 524288, 'train_runtime': 45.033, 'train_tokens_per_second': 11642.307}
{'loss': 176.6875, 'grad_norm': 37.25, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.28, 'num_input_tokens_seen': 655360, 'train_runtime': 54.8771, 'train_tokens_per_second': 11942.33}
{'loss': 175.0625, 'grad_norm': 36.5, 'learning_rate': 4.975e-05, 'epoch': 0.33, 'num_input_tokens_seen': 786432, 'train_runtime': 64.7159, 'train_tokens_per_second': 12152.076}
{'loss': 174.0, 'grad_norm': 34.5, 'learning_rate': 4.97e-05, 'epoch': 0.39, 'num_input_tokens_seen': 917504, 'train_runtime': 74.5558, 'train_tokens_per_second': 12306.278}
{'loss': 172.875, 'grad_norm': 34.75, 'learning_rate': 4.965e-05, 'epoch': 0.44, 'num_input_tokens_seen': 1048576, 'train_runtime': 84.427, 'train_tokens_per_second': 12419.911}
{'loss': 171.6875, 'grad_norm': 34.25, 'learning_rate': 4.96e-05, 'epoch': 0.5, 'num_input_tokens_seen': 1179648, 'train_runtime': 94.2992, 'train_tokens_per_second': 12509.633}
{'loss': 171.1875, 'grad_norm': 33.5, 'learning_rate': 4.9550000000000005e-05, 'epoch': 0.55, 'num_input_tokens_seen': 1310720, 'train_runtime': 104.1768, 'train_tokens_per_second': 12581.694}
{'loss': 170.5, 'grad_norm': 33.25, 'learning_rate': 4.9500000000000004e-05, 'epoch': 0.61, 'num_input_tokens_seen': 1441792, 'train_runtime': 114.0547, 'train_tokens_per_second': 12641.236}
{'loss': 169.8125, 'grad_norm': 33.25, 'learning_rate': 4.945e-05, 'epoch': 0.66, 'num_input_tokens_seen': 1572864, 'train_runtime': 123.9345, 'train_tokens_per_second': 12691.089}
