                                                                                                                       
{'loss': 186.1167, 'grad_norm': 24.510391235351562, 'learning_rate': 5e-05, 'epoch': 0.06, 'num_input_tokens_seen': 131072, 'train_runtime': 8.636, 'train_tokens_per_second': 15177.353}
{'loss': 183.1725, 'grad_norm': 22.01675033569336, 'learning_rate': 4.995e-05, 'epoch': 0.11, 'num_input_tokens_seen': 262144, 'train_runtime': 11.7193, 'train_tokens_per_second': 22368.596}
{'loss': 180.7458, 'grad_norm': 19.603290557861328, 'learning_rate': 4.99e-05, 'epoch': 0.17, 'num_input_tokens_seen': 393216, 'train_runtime': 14.7402, 'train_tokens_per_second': 26676.46}
{'loss': 178.7319, 'grad_norm': 18.761672973632812, 'learning_rate': 4.9850000000000006e-05, 'epoch': 0.22, 'num_input_tokens_seen': 524288, 'train_runtime': 17.7058, 'train_tokens_per_second': 29611.054}
{'loss': 176.9614, 'grad_norm': 18.532546997070312, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.28, 'num_input_tokens_seen': 655360, 'train_runtime': 20.6832, 'train_tokens_per_second': 31685.625}
{'loss': 175.0289, 'grad_norm': 19.305797576904297, 'learning_rate': 4.975e-05, 'epoch': 0.33, 'num_input_tokens_seen': 786432, 'train_runtime': 23.6648, 'train_tokens_per_second': 33232.13}
{'loss': 173.8828, 'grad_norm': 19.47402572631836, 'learning_rate': 4.97e-05, 'epoch': 0.39, 'num_input_tokens_seen': 917504, 'train_runtime': 26.6471, 'train_tokens_per_second': 34431.708}
{'loss': 172.0414, 'grad_norm': 20.583250045776367, 'learning_rate': 4.965e-05, 'epoch': 0.44, 'num_input_tokens_seen': 1048576, 'train_runtime': 29.6299, 'train_tokens_per_second': 35389.102}
{'loss': 170.3543, 'grad_norm': 21.706880569458008, 'learning_rate': 4.96e-05, 'epoch': 0.5, 'num_input_tokens_seen': 1179648, 'train_runtime': 32.6041, 'train_tokens_per_second': 36180.95}
{'loss': 169.3374, 'grad_norm': 22.487712860107422, 'learning_rate': 4.9550000000000005e-05, 'epoch': 0.55, 'num_input_tokens_seen': 1310720, 'train_runtime': 35.5841, 'train_tokens_per_second': 36834.416}
{'loss': 167.8092, 'grad_norm': 23.77769660949707, 'learning_rate': 4.9500000000000004e-05, 'epoch': 0.61, 'num_input_tokens_seen': 1441792, 'train_runtime': 38.7943, 'train_tokens_per_second': 37165.095}
{'loss': 166.7112, 'grad_norm': 24.66441535949707, 'learning_rate': 4.945e-05, 'epoch': 0.66, 'num_input_tokens_seen': 1572864, 'train_runtime': 41.7714, 'train_tokens_per_second': 37654.122}
{'loss': 164.15, 'grad_norm': 26.334461212158203, 'learning_rate': 4.94e-05, 'epoch': 0.72, 'num_input_tokens_seen': 1703936, 'train_runtime': 44.7486, 'train_tokens_per_second': 38077.989}
{'loss': 163.4168, 'grad_norm': 26.851856231689453, 'learning_rate': 4.935e-05, 'epoch': 0.77, 'num_input_tokens_seen': 1835008, 'train_runtime': 47.7298, 'train_tokens_per_second': 38445.748}
{'loss': 162.5766, 'grad_norm': 27.15365219116211, 'learning_rate': 4.93e-05, 'epoch': 0.83, 'num_input_tokens_seen': 1966080, 'train_runtime': 50.7014, 'train_tokens_per_second': 38777.621}
{'loss': 162.0432, 'grad_norm': 27.675559997558594, 'learning_rate': 4.9250000000000004e-05, 'epoch': 0.88, 'num_input_tokens_seen': 2097152, 'train_runtime': 53.6767, 'train_tokens_per_second': 39070.075}
{'loss': 160.3578, 'grad_norm': 28.406570434570312, 'learning_rate': 4.92e-05, 'epoch': 0.94, 'num_input_tokens_seen': 2228224, 'train_runtime': 56.6564, 'train_tokens_per_second': 39328.74}
{'loss': 159.3331, 'grad_norm': 29.188997268676758, 'learning_rate': 4.915e-05, 'epoch': 0.99, 'num_input_tokens_seen': 2359296, 'train_runtime': 59.6375, 'train_tokens_per_second': 39560.615}
{'loss': 19.4057, 'grad_norm': 4.313143253326416, 'learning_rate': 4.91e-05, 'epoch': 1.0, 'num_input_tokens_seen': 2375680, 'train_runtime': 60.0089, 'train_tokens_per_second': 39588.803}
{'loss': 157.1735, 'grad_norm': 29.490123748779297, 'learning_rate': 4.905e-05, 'epoch': 1.06, 'num_input_tokens_seen': 2506752, 'train_runtime': 63.0061, 'train_tokens_per_second': 39785.847}
{'loss': 156.8754, 'grad_norm': 29.005659103393555, 'learning_rate': 4.9e-05, 'epoch': 1.11, 'num_input_tokens_seen': 2637824, 'train_runtime': 85.1799, 'train_tokens_per_second': 30967.697}
{'loss': 156.612, 'grad_norm': 29.147409439086914, 'learning_rate': 4.8950000000000004e-05, 'epoch': 1.17, 'num_input_tokens_seen': 2768896, 'train_runtime': 88.161, 'train_tokens_per_second': 31407.257}
{'loss': 155.9772, 'grad_norm': 28.909774780273438, 'learning_rate': 4.89e-05, 'epoch': 1.22, 'num_input_tokens_seen': 2899968, 'train_runtime': 91.1346, 'train_tokens_per_second': 31820.728}
{'loss': 154.9543, 'grad_norm': 28.902843475341797, 'learning_rate': 4.885e-05, 'epoch': 1.28, 'num_input_tokens_seen': 3031040, 'train_runtime': 94.1049, 'train_tokens_per_second': 32209.17}
