                                                   
{'loss': 185.8999, 'grad_norm': 11.75302791595459, 'learning_rate': 5e-05, 'epoch': 0.06, 'num_input_tokens_seen': 131072, 'train_runtime': 11.2387, 'train_tokens_per_second': 11662.568}
{'loss': 185.0634, 'grad_norm': 13.143101692199707, 'learning_rate': 4.995e-05, 'epoch': 0.11, 'num_input_tokens_seen': 262144, 'train_runtime': 18.1, 'train_tokens_per_second': 14483.087}
{'loss': 184.0347, 'grad_norm': 17.822917938232422, 'learning_rate': 4.99e-05, 'epoch': 0.17, 'num_input_tokens_seen': 393216, 'train_runtime': 24.9063, 'train_tokens_per_second': 15787.813}
{'loss': 182.5631, 'grad_norm': 25.85398292541504, 'learning_rate': 4.9850000000000006e-05, 'epoch': 0.22, 'num_input_tokens_seen': 524288, 'train_runtime': 31.7639, 'train_tokens_per_second': 16505.79}
{'loss': 180.313, 'grad_norm': 34.64657211303711, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.28, 'num_input_tokens_seen': 655360, 'train_runtime': 38.6556, 'train_tokens_per_second': 16953.811}
{'loss': 177.3828, 'grad_norm': 38.06974792480469, 'learning_rate': 4.975e-05, 'epoch': 0.33, 'num_input_tokens_seen': 786432, 'train_runtime': 45.5428, 'train_tokens_per_second': 17267.983}
{'loss': 174.8388, 'grad_norm': 34.49421691894531, 'learning_rate': 4.97e-05, 'epoch': 0.39, 'num_input_tokens_seen': 917504, 'train_runtime': 52.4334, 'train_tokens_per_second': 17498.451}
{'loss': 172.7232, 'grad_norm': 32.98606491088867, 'learning_rate': 4.965e-05, 'epoch': 0.44, 'num_input_tokens_seen': 1048576, 'train_runtime': 59.3293, 'train_tokens_per_second': 17673.838}
{'loss': 171.2363, 'grad_norm': 32.7526969909668, 'learning_rate': 4.96e-05, 'epoch': 0.5, 'num_input_tokens_seen': 1179648, 'train_runtime': 66.3129, 'train_tokens_per_second': 17789.11}
{'loss': 170.232, 'grad_norm': 32.52747344970703, 'learning_rate': 4.9550000000000005e-05, 'epoch': 0.55, 'num_input_tokens_seen': 1310720, 'train_runtime': 73.2471, 'train_tokens_per_second': 17894.503}
{'loss': 169.4728, 'grad_norm': 32.351234436035156, 'learning_rate': 4.9500000000000004e-05, 'epoch': 0.61, 'num_input_tokens_seen': 1441792, 'train_runtime': 80.3663, 'train_tokens_per_second': 17940.265}
{'loss': 168.4973, 'grad_norm': 32.4169921875, 'learning_rate': 4.945e-05, 'epoch': 0.66, 'num_input_tokens_seen': 1572864, 'train_runtime': 87.3211, 'train_tokens_per_second': 18012.407}
{'loss': 167.6241, 'grad_norm': 32.92524719238281, 'learning_rate': 4.94e-05, 'epoch': 0.72, 'num_input_tokens_seen': 1703936, 'train_runtime': 94.2436, 'train_tokens_per_second': 18080.122}
{'loss': 166.9892, 'grad_norm': 32.7041130065918, 'learning_rate': 4.935e-05, 'epoch': 0.77, 'num_input_tokens_seen': 1835008, 'train_runtime': 101.203, 'train_tokens_per_second': 18131.948}
{'loss': 166.5335, 'grad_norm': 32.22602844238281, 'learning_rate': 4.93e-05, 'epoch': 0.83, 'num_input_tokens_seen': 1966080, 'train_runtime': 108.1208, 'train_tokens_per_second': 18184.104}
{'loss': 166.0315, 'grad_norm': 32.10670852661133, 'learning_rate': 4.9250000000000004e-05, 'epoch': 0.88, 'num_input_tokens_seen': 2097152, 'train_runtime': 115.0463, 'train_tokens_per_second': 18228.76}
{'loss': 165.3863, 'grad_norm': 32.36031723022461, 'learning_rate': 4.92e-05, 'epoch': 0.94, 'num_input_tokens_seen': 2228224, 'train_runtime': 121.9754, 'train_tokens_per_second': 18267.821}
{'loss': 164.697, 'grad_norm': 32.73179244995117, 'learning_rate': 4.915e-05, 'epoch': 0.99, 'num_input_tokens_seen': 2359296, 'train_runtime': 128.9535, 'train_tokens_per_second': 18295.715}
