                                                                                                                       
{'loss': 186.1337, 'grad_norm': 23.97789764404297, 'learning_rate': 0.0, 'epoch': 0.05}
{'loss': 186.2214, 'grad_norm': 23.326316833496094, 'learning_rate': 2.9999999999999997e-06, 'epoch': 0.11}
{'loss': 185.9694, 'grad_norm': 24.905094146728516, 'learning_rate': 5.999999999999999e-06, 'epoch': 0.16}
{'loss': 185.5955, 'grad_norm': 24.323406219482422, 'learning_rate': 8.999999999999999e-06, 'epoch': 0.22}
{'loss': 185.0681, 'grad_norm': 24.418766021728516, 'learning_rate': 1.1999999999999999e-05, 'epoch': 0.27}
{'loss': 184.3073, 'grad_norm': 23.509809494018555, 'learning_rate': 1.4999999999999999e-05, 'epoch': 0.32}
{'loss': 183.4004, 'grad_norm': 22.802474975585938, 'learning_rate': 1.7999999999999997e-05, 'epoch': 0.38}
{'loss': 182.3559, 'grad_norm': 21.529579162597656, 'learning_rate': 2.1e-05, 'epoch': 0.43}
{'loss': 181.4917, 'grad_norm': 19.64788246154785, 'learning_rate': 2.3999999999999997e-05, 'epoch': 0.49}
{'loss': 180.3621, 'grad_norm': 18.94423484802246, 'learning_rate': 2.6999999999999996e-05, 'epoch': 0.54}
{'loss': 179.3581, 'grad_norm': 18.17477798461914, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.59}
{'loss': 177.9757, 'grad_norm': 18.531875610351562, 'learning_rate': 3.2999999999999996e-05, 'epoch': 0.65}
{'loss': 176.6566, 'grad_norm': 18.716167449951172, 'learning_rate': 3.5999999999999994e-05, 'epoch': 0.7}
{'loss': 175.3901, 'grad_norm': 19.01705551147461, 'learning_rate': 3.9e-05, 'epoch': 0.76}
{'loss': 174.2503, 'grad_norm': 19.303770065307617, 'learning_rate': 4.2e-05, 'epoch': 0.81}
{'loss': 172.8098, 'grad_norm': 20.263118743896484, 'learning_rate': 4.4999999999999996e-05, 'epoch': 0.86}
{'loss': 171.4264, 'grad_norm': 20.743101119995117, 'learning_rate': 4.7999999999999994e-05, 'epoch': 0.92}
{'loss': 170.3599, 'grad_norm': 21.575342178344727, 'learning_rate': 5.1e-05, 'epoch': 0.97}
{'loss': 83.8308, 'grad_norm': 12.178092002868652, 'learning_rate': 5.399999999999999e-05, 'epoch': 1.0}
{'loss': 166.9669, 'grad_norm': 24.06110954284668, 'learning_rate': 5.6999999999999996e-05, 'epoch': 1.05}
{'loss': 165.4028, 'grad_norm': 25.228029251098633, 'learning_rate': 5.9999999999999995e-05, 'epoch': 1.11}
{'loss': 163.6057, 'grad_norm': 26.37212562561035, 'learning_rate': 6.299999999999999e-05, 'epoch': 1.16}
{'loss': 162.1776, 'grad_norm': 27.157888412475586, 'learning_rate': 6.599999999999999e-05, 'epoch': 1.22}
{'loss': 160.9669, 'grad_norm': 27.986164093017578, 'learning_rate': 6.9e-05, 'epoch': 1.27}
{'loss': 159.838, 'grad_norm': 28.395103454589844, 'learning_rate': 7.199999999999999e-05, 'epoch': 1.32}
{'loss': 158.4637, 'grad_norm': 29.08041000366211, 'learning_rate': 7.5e-05, 'epoch': 1.38}
{'loss': 157.3616, 'grad_norm': 29.485618591308594, 'learning_rate': 7.8e-05, 'epoch': 1.43}
{'loss': 155.8104, 'grad_norm': 29.81891632080078, 'learning_rate': 8.1e-05, 'epoch': 1.49}
{'loss': 155.3317, 'grad_norm': 29.97563934326172, 'learning_rate': 8.4e-05, 'epoch': 1.54}
{'loss': 154.1036, 'grad_norm': 29.377567291259766, 'learning_rate': 8.699999999999999e-05, 'epoch': 1.59}
{'loss': 152.6465, 'grad_norm': 30.23546028137207, 'learning_rate': 8.999999999999999e-05, 'epoch': 1.65}
{'loss': 151.5296, 'grad_norm': 29.60713005065918, 'learning_rate': 9.3e-05, 'epoch': 1.7}
{'loss': 150.6776, 'grad_norm': 33.874576568603516, 'learning_rate': 9.599999999999999e-05, 'epoch': 1.76}
{'loss': 149.8058, 'grad_norm': 34.98703384399414, 'learning_rate': 9.9e-05, 'epoch': 1.81}
{'loss': 149.1808, 'grad_norm': 72.5232162475586, 'learning_rate': 0.000102, 'epoch': 1.86}
{'loss': 147.3583, 'grad_norm': 38.880859375, 'learning_rate': 0.00010499999999999999, 'epoch': 1.92}
{'loss': 146.2901, 'grad_norm': 50.08781051635742, 'learning_rate': 0.00010799999999999998, 'epoch': 1.97}
{'loss': 72.5836, 'grad_norm': 20.910972595214844, 'learning_rate': 0.00011099999999999999, 'epoch': 2.0}
{'loss': 144.0057, 'grad_norm': 36.32068634033203, 'learning_rate': 0.00011399999999999999, 'epoch': 2.05}
{'loss': 143.4332, 'grad_norm': 63.476287841796875, 'learning_rate': 0.000117, 'epoch': 2.11}
{'loss': 141.8717, 'grad_norm': 39.386375427246094, 'learning_rate': 0.00011999999999999999, 'epoch': 2.16}
{'loss': 141.5096, 'grad_norm': 34.23079299926758, 'learning_rate': 0.00012299999999999998, 'epoch': 2.22}
{'loss': 140.0384, 'grad_norm': 31.615633010864258, 'learning_rate': 0.00012599999999999997, 'epoch': 2.27}
{'loss': 138.7992, 'grad_norm': 32.19753646850586, 'learning_rate': 0.000129, 'epoch': 2.32}
{'loss': 137.899, 'grad_norm': 27.72918701171875, 'learning_rate': 0.00013199999999999998, 'epoch': 2.38}
{'loss': 136.4007, 'grad_norm': 27.95256805419922, 'learning_rate': 0.000135, 'epoch': 2.43}
{'loss': 135.6368, 'grad_norm': 27.298437118530273, 'learning_rate': 0.000138, 'epoch': 2.49}
{'loss': 134.043, 'grad_norm': 26.133026123046875, 'learning_rate': 0.00014099999999999998, 'epoch': 2.54}
{'loss': 133.1179, 'grad_norm': 26.043256759643555, 'learning_rate': 0.00014399999999999998, 'epoch': 2.59}
{'loss': 131.7525, 'grad_norm': 25.675464630126953, 'learning_rate': 0.000147, 'epoch': 2.65}
{'loss': 130.2626, 'grad_norm': 25.03809928894043, 'learning_rate': 0.00015, 'epoch': 2.7}
{'loss': 129.2361, 'grad_norm': 24.609228134155273, 'learning_rate': 0.00015299999999999998, 'epoch': 2.76}
{'loss': 128.3522, 'grad_norm': 24.050142288208008, 'learning_rate': 0.000156, 'epoch': 2.81}
{'loss': 126.8275, 'grad_norm': 23.791440963745117, 'learning_rate': 0.000159, 'epoch': 2.86}
{'loss': 125.837, 'grad_norm': 22.63066864013672, 'learning_rate': 0.000162, 'epoch': 2.92}
{'loss': 123.9545, 'grad_norm': 22.50584602355957, 'learning_rate': 0.000165, 'epoch': 2.97}
{'loss': 61.4714, 'grad_norm': 11.16996955871582, 'learning_rate': 0.000168, 'epoch': 3.0}
{'loss': 122.1106, 'grad_norm': 20.905759811401367, 'learning_rate': 0.00017099999999999998, 'epoch': 3.05}
{'loss': 120.322, 'grad_norm': 20.31276512145996, 'learning_rate': 0.00017399999999999997, 'epoch': 3.11}
{'loss': 119.6524, 'grad_norm': 19.42385482788086, 'learning_rate': 0.00017699999999999997, 'epoch': 3.16}
{'loss': 118.403, 'grad_norm': 18.685935974121094, 'learning_rate': 0.00017999999999999998, 'epoch': 3.22}
{'loss': 117.563, 'grad_norm': 17.7552490234375, 'learning_rate': 0.00018299999999999998, 'epoch': 3.27}
{'loss': 116.0809, 'grad_norm': 17.012420654296875, 'learning_rate': 0.000186, 'epoch': 3.32}
{'loss': 115.6731, 'grad_norm': 15.914698600769043, 'learning_rate': 0.00018899999999999999, 'epoch': 3.38}
{'loss': 113.5249, 'grad_norm': 15.270195960998535, 'learning_rate': 0.00019199999999999998, 'epoch': 3.43}
{'loss': 113.0842, 'grad_norm': 14.082618713378906, 'learning_rate': 0.000195, 'epoch': 3.49}
{'loss': 112.09, 'grad_norm': 13.446260452270508, 'learning_rate': 0.000198, 'epoch': 3.54}
{'loss': 111.3201, 'grad_norm': 12.495735168457031, 'learning_rate': 0.000201, 'epoch': 3.59}
{'loss': 110.701, 'grad_norm': 11.756672859191895, 'learning_rate': 0.000204, 'epoch': 3.65}
{'loss': 109.8572, 'grad_norm': 10.62899112701416, 'learning_rate': 0.00020699999999999996, 'epoch': 3.7}
{'loss': 109.8336, 'grad_norm': 9.559414863586426, 'learning_rate': 0.00020999999999999998, 'epoch': 3.76}
{'loss': 109.1769, 'grad_norm': 8.544419288635254, 'learning_rate': 0.00021299999999999997, 'epoch': 3.81}
{'loss': 108.258, 'grad_norm': 7.438841342926025, 'learning_rate': 0.00021599999999999996, 'epoch': 3.86}
{'loss': 107.1383, 'grad_norm': 7.0588250160217285, 'learning_rate': 0.00021899999999999998, 'epoch': 3.92}
{'loss': 106.4933, 'grad_norm': 8.210748672485352, 'learning_rate': 0.00022199999999999998, 'epoch': 3.97}
{'loss': 53.425, 'grad_norm': 3.9368205070495605, 'learning_rate': 0.000225, 'epoch': 4.0}
{'loss': 104.8734, 'grad_norm': 9.283429145812988, 'learning_rate': 0.00022799999999999999, 'epoch': 4.05}
{'loss': 104.8612, 'grad_norm': 12.3590087890625, 'learning_rate': 0.00023099999999999998, 'epoch': 4.11}
{'loss': 104.2045, 'grad_norm': 8.121858596801758, 'learning_rate': 0.000234, 'epoch': 4.16}
{'loss': 103.4904, 'grad_norm': 8.411696434020996, 'learning_rate': 0.000237, 'epoch': 4.22}
{'loss': 102.8084, 'grad_norm': 9.1044921875, 'learning_rate': 0.00023999999999999998, 'epoch': 4.27}
{'loss': 102.3726, 'grad_norm': 8.300507545471191, 'learning_rate': 0.000243, 'epoch': 4.32}
{'loss': 102.0863, 'grad_norm': 9.885847091674805, 'learning_rate': 0.00024599999999999996, 'epoch': 4.38}
{'loss': 102.8078, 'grad_norm': 9.296335220336914, 'learning_rate': 0.000249, 'epoch': 4.43}
{'loss': 102.0253, 'grad_norm': 7.985678195953369, 'learning_rate': 0.00025199999999999995, 'epoch': 4.49}
{'loss': 101.718, 'grad_norm': 9.165144920349121, 'learning_rate': 0.00025499999999999996, 'epoch': 4.54}
{'loss': 99.9711, 'grad_norm': 8.52352523803711, 'learning_rate': 0.000258, 'epoch': 4.59}
{'loss': 100.2439, 'grad_norm': 6.255908966064453, 'learning_rate': 0.000261, 'epoch': 4.65}
{'loss': 101.0198, 'grad_norm': 10.52892017364502, 'learning_rate': 0.00026399999999999997, 'epoch': 4.7}
{'loss': 100.1665, 'grad_norm': 8.663397789001465, 'learning_rate': 0.000267, 'epoch': 4.76}
{'loss': 99.7542, 'grad_norm': 9.471447944641113, 'learning_rate': 0.00027, 'epoch': 4.81}
{'loss': 99.8408, 'grad_norm': 7.96358585357666, 'learning_rate': 0.00027299999999999997, 'epoch': 4.86}
{'loss': 99.5129, 'grad_norm': 8.646042823791504, 'learning_rate': 0.000276, 'epoch': 4.92}
{'loss': 98.9474, 'grad_norm': 8.830901145935059, 'learning_rate': 0.000279, 'epoch': 4.97}
{'loss': 48.9391, 'grad_norm': 3.715897560119629, 'learning_rate': 0.00028199999999999997, 'epoch': 5.0}
{'loss': 96.8617, 'grad_norm': 6.953457832336426, 'learning_rate': 0.000285, 'epoch': 5.05}
{'loss': 96.9975, 'grad_norm': 6.319899559020996, 'learning_rate': 0.00028799999999999995, 'epoch': 5.11}
{'loss': 96.5699, 'grad_norm': 6.523988723754883, 'learning_rate': 0.00029099999999999997, 'epoch': 5.16}
{'loss': 96.4663, 'grad_norm': 6.482828617095947, 'learning_rate': 0.000294, 'epoch': 5.22}
{'loss': 95.611, 'grad_norm': 5.908871173858643, 'learning_rate': 0.00029699999999999996, 'epoch': 5.27}
{'loss': 95.8947, 'grad_norm': 5.882700443267822, 'learning_rate': 0.0003, 'epoch': 5.32}
{'loss': 94.9484, 'grad_norm': 5.728139877319336, 'learning_rate': 0.000303, 'epoch': 5.38}
{'loss': 95.0127, 'grad_norm': 6.597874641418457, 'learning_rate': 0.00030599999999999996, 'epoch': 5.43}
{'loss': 94.6879, 'grad_norm': 5.470319747924805, 'learning_rate': 0.000309, 'epoch': 5.49}
{'loss': 94.2274, 'grad_norm': 6.5116705894470215, 'learning_rate': 0.000312, 'epoch': 5.54}
{'loss': 95.3185, 'grad_norm': 6.04512882232666, 'learning_rate': 0.00031499999999999996, 'epoch': 5.59}
{'loss': 93.9757, 'grad_norm': 4.997079372406006, 'learning_rate': 0.000318, 'epoch': 5.65}
