[34m[1mwandb[0m: Detected [huggingface_hub.inference] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|                                                                                          | 0/625 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                                       
{'loss': 0.6931, 'grad_norm': 5.777158260345459, 'learning_rate': 5e-06, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -997.095947265625, 'logps/rejected': -1401.2965087890625, 'logits/chosen': -2.383577346801758, 'logits/rejected': -2.5550010204315186, 'epoch': 0.0}
{'loss': 0.6859, 'grad_norm': 29.931734085083008, 'learning_rate': 4.992e-06, 'rewards/chosen': -0.0005279185716062784, 'rewards/rejected': -0.018111608922481537, 'rewards/accuracies': 0.3125, 'rewards/margins': 0.01758369244635105, 'logps/chosen': -889.494873046875, 'logps/rejected': -2650.220703125, 'logits/chosen': -2.4591455459594727, 'logits/rejected': -2.4508743286132812, 'epoch': 0.0}
{'loss': 0.6878, 'grad_norm': 7.421308517456055, 'learning_rate': 4.984000000000001e-06, 'rewards/chosen': 0.010252094827592373, 'rewards/rejected': -0.0012426384491845965, 'rewards/accuracies': 0.5, 'rewards/margins': 0.011494734324514866, 'logps/chosen': -877.0235595703125, 'logps/rejected': -1620.46630859375, 'logits/chosen': -2.387298107147217, 'logits/rejected': -2.400231122970581, 'epoch': 0.0}
{'loss': 0.6801, 'grad_norm': 8.491647720336914, 'learning_rate': 4.976e-06, 'rewards/chosen': -6.537511944770813e-05, 'rewards/rejected': -0.02667703852057457, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.02661166340112686, 'logps/chosen': -953.943359375, 'logps/rejected': -1942.45849609375, 'logits/chosen': -2.3299200534820557, 'logits/rejected': -2.475105047225952, 'epoch': 0.01}
{'loss': 0.6812, 'grad_norm': 7.217437267303467, 'learning_rate': 4.9680000000000005e-06, 'rewards/chosen': 0.011346865445375443, 'rewards/rejected': -0.013010501861572266, 'rewards/accuracies': 0.625, 'rewards/margins': 0.024357369169592857, 'logps/chosen': -1256.431884765625, 'logps/rejected': -1457.0126953125, 'logits/chosen': -2.424405574798584, 'logits/rejected': -2.46640944480896, 'epoch': 0.01}
{'loss': 0.689, 'grad_norm': 6.225366115570068, 'learning_rate': 4.960000000000001e-06, 'rewards/chosen': -0.00911245308816433, 'rewards/rejected': -0.017802048474550247, 'rewards/accuracies': 0.75, 'rewards/margins': 0.008689593523740768, 'logps/chosen': -938.2471923828125, 'logps/rejected': -1745.748291015625, 'logits/chosen': -2.5838606357574463, 'logits/rejected': -2.5992836952209473, 'epoch': 0.01}
{'loss': 0.6827, 'grad_norm': 8.435750007629395, 'learning_rate': 4.952e-06, 'rewards/chosen': 0.0014164212625473738, 'rewards/rejected': -0.019836043938994408, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.021252466365695, 'logps/chosen': -1286.958740234375, 'logps/rejected': -2144.93798828125, 'logits/chosen': -2.483788013458252, 'logits/rejected': -2.45876145362854, 'epoch': 0.01}
{'loss': 0.6879, 'grad_norm': 6.893909931182861, 'learning_rate': 4.9440000000000004e-06, 'rewards/chosen': 0.006822490599006414, 'rewards/rejected': -0.003938103094696999, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.010760593228042126, 'logps/chosen': -1098.858154296875, 'logps/rejected': -1681.0372314453125, 'logits/chosen': -2.526834726333618, 'logits/rejected': -2.5802536010742188, 'epoch': 0.01}
{'loss': 0.6761, 'grad_norm': 6.476867198944092, 'learning_rate': 4.936e-06, 'rewards/chosen': 0.0015508650103583932, 'rewards/rejected': -0.03350410610437393, 'rewards/accuracies': 0.5625, 'rewards/margins': 0.035054970532655716, 'logps/chosen': -1156.2413330078125, 'logps/rejected': -1707.1953125, 'logits/chosen': -2.525251626968384, 'logits/rejected': -2.5307137966156006, 'epoch': 0.01}
{'loss': 0.6726, 'grad_norm': 6.029538154602051, 'learning_rate': 4.928000000000001e-06, 'rewards/chosen': 0.010607386007905006, 'rewards/rejected': -0.031647875905036926, 'rewards/accuracies': 0.6875, 'rewards/margins': 0.04225526005029678, 'logps/chosen': -962.8341674804688, 'logps/rejected': -1336.4739990234375, 'logits/chosen': -2.4935433864593506, 'logits/rejected': -2.474785327911377, 'epoch': 0.02}
{'loss': 0.6719, 'grad_norm': 5.764677047729492, 'learning_rate': 4.92e-06, 'rewards/chosen': -0.0050948625430464745, 'rewards/rejected': -0.04918956756591797, 'rewards/accuracies': 0.8125, 'rewards/margins': 0.04409470409154892, 'logps/chosen': -855.5267333984375, 'logps/rejected': -1480.712646484375, 'logits/chosen': -2.579183340072632, 'logits/rejected': -2.5417375564575195, 'epoch': 0.02}
